상품명,제조사,평균가격,조사일
씨그램 탄산수 플레인(350ml),코카콜라음료,953.0024213075061,2025-07-04
아름찬 3년숙성 국산 까나리액젓(1kg),농업회사법인농협식품,5980.0,2025-07-04
아름찬 3년숙성 국산 멸치액젓(1kg),농업회사법인농협식품,6000.0,2025-07-04
아이!깨끗해 항균폼 상큼한레몬향(250ml),CJ라이온,5765.109375,2025-07-04
아이꼬야 맘스쿠킹 소고기와두부진밥(100g),남양유업,3184.6938775510203,2025-07-04
아이비(309g),해태제과,3582.5,2025-07-04
아이시스(2L),롯데칠성음료,763.8965517241379,2025-07-04
아이시스(500ml),롯데칠성음료,396.60406885759,2025-07-04
아이얌 아기밀 한우표고야채진밥(100g),일동후디스,3193.103448275862,2025-07-04
아카페라 스위트아메리카노(240ml),빙그레,1484.2553191489362,2025-07-04
안성탕면(5개입),농심,3910.268138801262,2025-07-04
알라 무염버터(400g),매일유업,10948.122605363984,2025-07-04
알쿠니아 황도(840g),농심,5844.854368932039,2025-07-04
애호박,일반,1722.0588235294117,2025-07-04
액츠 퍼펙트 실내건조 겸용(3L),피죤,14375.979202772964,2025-07-04
앱솔루트 명작 3단계(800g),매일유업,28100.0,2025-07-04
얄피꽉찬 쌀물만두(1kg),풀무원,10415.566666666668,2025-07-04
양반 들기름김 올리브김 복합기획(16팩),동원,8668.35294117647,2025-07-04
양반 포기김치(1.9kg),동원에프앤비,18372.96803652968,2025-07-04
양배추,일반,4128.0,2025-07-04
양송이버섯(100g),일반,2684.3214285714284,2025-07-04
양조간장 501(500ml),샘표,5866.756838905775,2025-07-04
"양파(껍질 있는 망포장, 1.5kg)",일반,5161.365384615385,2025-07-04
에너자이저 맥스 AAA(4개입),에너자이저코리아,6718.472440944882,2025-07-04
에너자이저 맥스플러스 AA(4개입),에너자이저코리아,9287.907742998352,2025-07-04
에스앤비 생와사비(43g),훼밀리인터내셔날,3651.383147853736,2025-07-04
에프킬라 에어로졸 무향(500ml),에스씨존슨코리아(유),6114.312617702448,2025-07-04
엘라스틴 모로칸 아르간 오일 집중영양 샴푸(680ml),LG생활건강,8219.318181818182,2025-07-04
엘라스틴 아르간오일 데미지 트리트먼트(300ml),LG생활건강,9508.09264305177,2025-07-04
여명808(140ml),그래미,5345.0,2025-07-04
열라면(5개입),오뚜기,3951.632329635499,2025-07-04
옛날 자른당면(300g),오뚜기,4919.375,2025-07-04
옛날국수 소면(900g),오뚜기,3569.264214046823,2025-07-04
오가니스트 히말라야 핑크솔트 바디워시 리프레싱 민트향(865ml),LG생활건강,12714.417475728156,2025-07-04
오뚜기 가벼운참치 더마일드(135g),오뚜기,3267.2727272727275,2025-07-04
오뚜기 가벼운참치 더마일드(4캔),오뚜기,8675.679347826086,2025-07-04
오뚜기 간편 미역국(5개입),오뚜기,3988.1967213114754,2025-07-04
오뚜기 간편 북엇국(5개입),오뚜기,3987.434944237918,2025-07-04
오뚜기 고소한 골드 마요네즈(500g),오뚜기,6715.654627539503,2025-07-04
오뚜기 등심돈까스(500g),오뚜기,10452.627737226278,2025-07-04
오뚜기 딸기잼(500g),오뚜기,7804.581005586592,2025-07-04
오뚜기 부침가루(1kg),오뚜기,3453.3697347893917,2025-07-04
오뚜기 사과식초(900ml),오뚜기,3620.7553551296505,2025-07-04
오뚜기 생와사비(43g),오뚜기,4339.1716068642745,2025-07-04
오뚜기 연와사비(35g),오뚜기,1799.2727272727273,2025-07-04
오뚜기 옛날 물엿(1.2kg),오뚜기,5456.666666666667,2025-07-04
오뚜기 옛날 미역(100g),오뚜기,4894.736842105263,2025-07-04
오뚜기 옛날 볶음참깨(200g),오뚜기,5926.363636363636,2025-07-04
오뚜기 옛날 사골곰탕(350g),오뚜기,1467.9442508710802,2025-07-04
오뚜기 옛날 육개장(300g),오뚜기,1130.3801916932907,2025-07-04
오뚜기 옛날 자른미역(50g),오뚜기,3408.265306122449,2025-07-04
오뚜기 진한 쇠고기미역국밥(314g),오뚜기,4826.916890080429,2025-07-04
오뚜기 참기름(320ml),오뚜기,11948.939226519336,2025-07-04
오뚜기 참깨라면 컵(110g),오뚜기,1438.1263858093128,2025-07-04
오뚜기 카놀라유(900ml),오뚜기,9494.57627118644,2025-07-04
오뚜기 컵밥 제육덮밥(310g),오뚜기,4457.9584775086505,2025-07-04
오뚜기 콩기름(900ml),오뚜기,6062.910891089109,2025-07-04
오뚜기 크림스프(80g),오뚜기,2259.3406593406594,2025-07-04
오뚜기 토마토 케찹(500g),오뚜기,3777.0349492671926,2025-07-04
오뚜기 프레스코 스파게티(500g),오뚜기,3763.653250773994,2025-07-04
오뚜기 황도(400g),오뚜기,3475.984147952444,2025-07-04
오뚜기밥(210g),오뚜기,1799.3790849673203,2025-07-04
오뚜기밥(3개입),오뚜기,3290.880829015544,2025-07-04
오뚜기밥(6개입) ,오뚜기,7064.615384615385,2025-07-04
오뚜기카레 순한맛(100g),오뚜기,2483.8313253012047,2025-07-04
오랄비 크로스액션(3개입),한국피앤지,11602.177858439201,2025-07-04
오로나민C(10개입),동아오츠카,11565.0,2025-07-04
오리온 왕꿈틀이(67g),오리온,810.7142857142857,2025-07-04
오리온 초코파이(18개입),오리온,6478.1857451403885,2025-07-04
오리온 통아몬드 캔디(90g),오리온,1661.8002195389681,2025-07-04
오리온 포카칩 오리지널(66g),오리온,1462.2257053291537,2025-07-04
오이(백다다기),일반,1254.179487179487,2025-07-04
"오징어(냉동, 200~300g)",일반,3563.6,2025-07-04
"오징어(생물, 200~300g)",일반,4921.277777777777,2025-07-04
옥수수 마가린(200g),오뚜기,2560.06600660066,2025-07-04
온더바디 로맨틱 아이리스향 바디워시(900ml),LG생활건강,10107.651515151516,2025-07-04
온뜨락 볶음참깨(200g),장뜰영농조합법인,19790.0,2025-07-04
요플레 오리지널(4개),빙그레,3980.539568345324,2025-07-04
움트리 생와사비(120g),움트리,5946.090425531915,2025-07-04
유한락스 레귤러(2L),유한양행,6025.0,2025-07-04
유한락스 욕실청소용(1800ml),유한양행,9797.119341563786,2025-07-04
유한락스 후레쉬(2L),유한양행,6640.6984126984125,2025-07-04
의성마늘 빅그릴 비엔나(600g),롯데햄,9679.507389162562,2025-07-04
의성마늘 한입슬라이스햄(60g),롯데햄,2522.8015564202333,2025-07-04
의성마늘 훈제오리 슬라이스(400g),롯데웰푸드,12270.833333333334,2025-07-04
이오(5개),남양유업,2480.4682274247493,2025-07-04
일가집 비타 김밥단무지(400g),일미농수산,3053.700115340254,2025-07-04
일품 해물라면(5개입),팔도,4917.510204081633,2025-07-04
임금님표 이천쌀 특등급(10kg),부발농업협동조합,45896.06741573034,2025-07-04
임금님표 이천쌀(4kg),부발농업협동조합,23900.0,2025-07-04
임페리얼 드림 XO 3단계(800g),남양유업,24820.6106870229,2025-07-04
